-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
684,685,687,685,686,687,686,687,685,686,687,685,686,687,686,687,686,687,686,687,685,686,687,685,-1,-1,-1,689,685,686,685,686,687,685,686,687,685,686,687,685,686,687,685,686,687,685,686,687,689,690
712,713,715,713,714,715,714,715,713,714,715,713,714,715,714,715,714,715,714,715,713,714,715,713,-1,-1,-1,717,713,714,713,714,715,713,714,715,713,714,715,713,714,715,713,714,715,713,714,715,717,718
712,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,716,716,716,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,718
740,745,745,745,743,745,745,743,741,745,743,741,745,743,741,745,743,741,745,741,745,743,745,743,-1,-1,-1,745,745,745,745,745,745,745,745,745,745,745,745,745,745,745,745,745,745,745,745,745,745,746
768,773,773,773,771,773,773,771,769,773,771,769,773,771,769,773,771,769,773,769,773,771,773,771,-1,-1,-1,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,774
796,801,801,801,799,801,801,799,797,801,799,797,801,799,797,801,799,797,801,797,801,799,801,799,-1,-1,-1,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,802
-1,-1,-1,507,508,-1,-1,507,508,-1,-1,507,508,-1,-1,507,508,-1,606,607,608,794,-1,-1,-1,-1,-1,-1,-1,794,606,607,608,-1,507,508,-1,-1,507,508,-1,-1,507,508,-1,-1,507,508,-1,-1
532,533,534,535,536,537,534,535,536,537,534,535,536,537,534,535,536,537,634,635,636,794,-1,-1,-1,-1,-1,-1,-1,794,634,635,636,534,535,536,537,534,535,536,537,534,535,536,537,534,535,536,537,-1
560,561,562,563,564,565,562,563,564,565,562,563,564,565,562,563,564,565,662,663,664,794,-1,-1,-1,-1,-1,-1,-1,794,662,663,664,562,563,564,565,562,563,564,565,562,563,564,565,562,563,564,565,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,675,676,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,702,703,704,705,-1,-1,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,675,676,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,730,700,701,733,-1,-1,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,-1,-1,702,703,704,705,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,728,729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,-1,-1,730,700,701,733,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,728,729,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
